,DATE,MSPUS,income,new_private_house,PPI_Concrete,home_ow_rate,new_private_hw_under,total_emp_cons,monthly_supply,mortgage_rate,permit,population,house_st,p_saving_rate,unemployed_rate,target,all_Const_Emp,IPI_Cement,labor_percent,GDP,emratio,PPI_Cement
0,1987-01-01,97900.0,3820.2,7974.744624728542,4.703203926259457,63.9,1090.0,5007.0,6.0,9.204,1690.0,241857.0,1774.0,9.4,6.6,63.735,722.3,123.7373,65.4,4722.156,61.0,100.1
1,1987-02-01,97900.0,3845.0,7502.249552719816,4.703203926259457,63.9,1096.0,5038.0,6.2,9.0825,1689.0,242005.0,1784.0,8.2,6.6,64.135,724.2,123.167,65.5,4722.156,61.1,100.8
2,1987-03-01,97900.0,3863.8,7106.57511472515,4.703203926259457,63.9,1084.0,5039.0,6.0,9.035,1704.0,242166.0,1726.0,8.1,6.6,64.47,727.9,122.5706,65.5,4722.156,61.2,101.2
3,1987-04-01,103400.0,3875.4,7316.778921984829,4.703203926259457,63.9,1079.0,5053.0,6.0,9.8325,1601.0,242338.0,1614.0,4.1,6.3,64.973,728.1,123.5345,65.4,4806.16,61.3,100.8
4,1987-05-01,103400.0,3908.6,7203.849515616911,4.697749367281185,63.9,1070.0,5080.0,6.7,10.596,1500.0,242516.0,1628.0,7.8,6.3,65.547,727.6,123.8454,65.7,4806.16,61.6,101.2
5,1987-06-01,103400.0,3919.7,6806.0455129801785,4.697749367281185,63.9,1060.0,5086.0,6.9,10.5375,1522.0,242706.0,1594.0,7.3,6.2,66.218,728.5,123.3012,65.5,4806.16,61.4,101.2
6,1987-07-01,106000.0,3942.1,7060.581064125011,4.697749367281185,64.1,1051.0,5092.0,6.7,10.278,1516.0,242908.0,1575.0,7.1,6.1,66.786,732.1,127.3025,65.6,4884.555,61.6,101.1
7,1987-08-01,106000.0,3978.6,6750.274657721643,4.697749367281185,64.1,1045.0,5102.0,6.8,10.33,1511.0,243118.0,1605.0,6.8,6.0,67.27,729.2,122.6327,65.7,4884.555,61.8,101.1
8,1987-09-01,106000.0,3995.6,6563.291958923684,4.697749367281185,64.1,1048.0,5096.0,6.8,10.8875,1514.0,243335.0,1695.0,7.2,5.9,67.624,731.6,125.4097,65.5,4884.555,61.6,101.1
9,1987-10-01,111500.0,4034.7,6512.919095405714,4.697749367281185,64.1,1041.0,5142.0,6.8,11.26,1447.0,243543.0,1515.0,7.9,6.0,67.903,741.3,127.4145,65.7,5007.994,61.8,101.0
10,1987-11-01,111500.0,4062.1,6517.953236951163,4.697749367281185,64.1,1042.0,5152.0,7.0,10.65,1457.0,243724.0,1656.0,8.2,5.8,68.093,742.8,127.2895,65.7,5007.994,61.9,100.9
11,1987-12-01,111500.0,4115.7,6790.82709353617,4.697749367281185,64.1,1018.0,5180.0,7.6,10.64,1345.0,243895.0,1400.0,8.4,5.7,68.344,743.5,124.5768,65.7,5007.994,62.0,100.6
12,1988-01-01,110000.0,4128.2,6397.327776274346,4.697749367281185,63.8,1008.0,5094.0,7.5,10.3825,1244.0,244056.0,1271.0,7.9,5.7,68.583,745.0,111.7494,65.8,5073.372,62.0,100.7
13,1988-02-01,110000.0,4153.0,5879.396282235216,4.697749367281185,63.8,976.0,5162.0,6.6,9.8925,1438.0,244205.0,1473.0,8.4,5.7,68.916,747.0,119.6235,65.9,5073.372,62.1,101.5
14,1988-03-01,110000.0,4178.3,6628.880782903128,4.722063937459591,63.8,994.0,5201.0,6.6,9.93,1525.0,244362.0,1532.0,8.0,5.7,69.325,750.1,124.8638,65.7,5073.372,61.9,101.1
15,1988-04-01,110000.0,4209.5,6704.70552156522,4.722063937459591,63.8,999.0,5227.0,6.4,10.202,1429.0,244528.0,1573.0,8.7,5.4,69.789,754.0,123.2387,65.8,5190.036,62.2,101.6
16,1988-05-01,110000.0,4225.9,6042.885037873396,4.722063937459591,63.8,987.0,5228.0,6.6,10.455,1444.0,244708.0,1421.0,8.3,5.6,70.40899999999999,751.2,125.8846,65.7,5190.036,62.0,102.3
17,1988-06-01,110000.0,4258.9,6187.217779233167,4.722063937459591,63.8,980.0,5261.0,6.2,10.46,1485.0,244914.0,1478.0,8.4,5.4,71.068,757.0,126.7927,65.8,5190.036,62.3,101.7
18,1988-07-01,115000.0,4298.8,6262.111976171093,4.72384171570559,63.8,971.0,5270.0,6.6,10.432,1439.0,245131.0,1467.0,8.6,5.4,71.686,747.1,120.8889,65.9,5282.835,62.3,101.5
19,1988-08-01,115000.0,4323.0,6382.278174968095,4.718498871295094,63.8,967.0,5268.0,6.6,10.5975,1460.0,245352.0,1493.0,8.4,5.6,72.185,744.5,119.923,66.1,5282.835,62.4,101.4
